DATAFLOW,MEASURE,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT
ABS:RES_DWELL_ST(1.0.0),2,8,Q,2014-Q4,84629.4,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,8,Q,2015-Q1,85723.8,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,8,Q,2015-Q2,87144.8,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,8,Q,2015-Q3,88051.7,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,8,Q,2015-Q4,91213.1,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,8,Q,2016-Q1,89229.4,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,8,Q,2016-Q2,92076,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,8,Q,2016-Q3,92564.9,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,8,Q,2016-Q4,97921.9,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,8,Q,2017-Q1,98771.7,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,8,Q,2017-Q2,100202.6,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,8,Q,2017-Q3,100496.1,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,8,Q,2017-Q4,104728.2,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,8,Q,2018-Q1,105948.8,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,8,Q,2018-Q2,107350.7,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,8,Q,2018-Q3,106906.6,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,8,Q,2018-Q4,108046.4,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,8,Q,2019-Q1,107719.9,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,8,Q,2019-Q2,108063.8,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,8,Q,2019-Q3,109297.5,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,8,Q,2019-Q4,115671.4,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,8,Q,2020-Q1,115731.7,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,8,Q,2020-Q2,118841.3,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,8,Q,2020-Q3,122489.2,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,8,Q,2020-Q4,129814.4,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,8,Q,2021-Q1,140289.6,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,8,Q,2021-Q2,153108.4,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,8,Q,2021-Q3,158345.2,AUD,6,r,
ABS:RES_DWELL_ST(1.0.0),2,8,Q,2021-Q4,171674.8,AUD,6,r,
ABS:RES_DWELL_ST(1.0.0),2,8,Q,2022-Q1,177424.6,AUD,6,p,
ABS:RES_DWELL_ST(1.0.0),3,3,Q,2011-Q3,41332.9,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,3,Q,2011-Q4,41259.4,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,3,Q,2012-Q1,40876.1,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,3,Q,2012-Q2,41137.4,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,3,Q,2012-Q3,41233.9,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,3,Q,2012-Q4,41040.8,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,3,Q,2013-Q1,41296.8,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,3,Q,2013-Q2,41439.7,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,3,Q,2013-Q3,41158.3,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,3,Q,2013-Q4,41871.4,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,3,Q,2014-Q1,42323.3,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,3,Q,2014-Q2,42646.7,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,3,Q,2014-Q3,42997.7,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,3,Q,2014-Q4,43487.8,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,3,Q,2015-Q1,43381.4,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,3,Q,2015-Q2,44063.5,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,3,Q,2015-Q3,44318.2,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,3,Q,2015-Q4,44893.4,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,3,Q,2016-Q1,44222.2,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,3,Q,2016-Q2,44835.7,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,3,Q,2016-Q3,44923.2,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,3,Q,2016-Q4,45947,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,3,Q,2017-Q1,46228.9,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,3,Q,2017-Q2,46581.4,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,3,Q,2017-Q3,47228.2,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,3,Q,2017-Q4,47893.6,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,3,Q,2018-Q1,48257.1,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,3,Q,2018-Q2,48722.4,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,3,Q,2018-Q3,49408.6,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,3,Q,2018-Q4,49164.8,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,3,Q,2019-Q1,48426.9,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,3,Q,2019-Q2,49425.6,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,3,Q,2019-Q3,50202.7,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,3,Q,2019-Q4,51008.4,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,3,Q,2020-Q1,51659.2,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,3,Q,2020-Q2,51818.9,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,3,Q,2020-Q3,53748.9,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,3,Q,2020-Q4,56257.1,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,3,Q,2021-Q1,59413.1,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,3,Q,2021-Q2,63932.8,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,3,Q,2021-Q3,68224.6,AUD,6,r,
ABS:RES_DWELL_ST(1.0.0),3,3,Q,2021-Q4,73504.8,AUD,6,r,
ABS:RES_DWELL_ST(1.0.0),3,3,Q,2022-Q1,78077.3,AUD,6,p,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2011-Q3,4418854,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2011-Q4,4400528.1,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2012-Q1,4428147.6,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2012-Q2,4456988.8,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2012-Q3,4439837.5,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2012-Q4,4550517.2,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2013-Q1,4607351.1,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2013-Q2,4688260.2,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2013-Q3,4774137,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2013-Q4,4953517.2,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2014-Q1,5031590.7,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2014-Q2,5128396.2,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2014-Q3,5211699.8,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2014-Q4,5384354.8,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2015-Q1,5509533,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2015-Q2,5738405,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2015-Q3,5874140.1,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2015-Q4,5916230,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2016-Q1,5919674.3,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2016-Q2,6055430.4,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2016-Q3,6178718.9,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2016-Q4,6441224.4,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2017-Q1,6601671.7,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2017-Q2,6771343.5,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2017-Q3,6779347.8,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2017-Q4,6946229.3,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2018-Q1,6957246.1,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2018-Q2,6920978.3,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2018-Q3,6860065.3,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2018-Q4,6788971.4,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2019-Q1,6656041.1,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2019-Q2,6720484.5,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2019-Q3,6951369.8,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2019-Q4,7170832.2,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2020-Q1,7278072.7,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2020-Q2,7251093.3,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2020-Q3,7487531.1,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2020-Q4,7886460.5,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2021-Q1,8360913.5,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2021-Q2,8807771.4,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2021-Q3,9433076.1,AUD,6,r,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2021-Q4,9952366.5,AUD,6,r,
ABS:RES_DWELL_ST(1.0.0),1,AUS,Q,2022-Q1,10173551,AUD,6,p,
ABS:RES_DWELL_ST(1.0.0),2,AUS,Q,2011-Q3,4185069.8,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,AUS,Q,2011-Q4,4167616.1,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,AUS,Q,2012-Q1,4193208,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,AUS,Q,2012-Q2,4221012,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,AUS,Q,2012-Q3,4206315.6,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,AUS,Q,2012-Q4,4312946.9,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,AUS,Q,2013-Q1,4368207.4,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,AUS,Q,2013-Q2,4447442.1,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,AUS,Q,2013-Q3,4530851.3,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,AUS,Q,2013-Q4,4703735.9,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,AUS,Q,2014-Q1,4779662.6,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,AUS,Q,2014-Q2,4873880.1,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,AUS,Q,2014-Q3,4954524.5,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,AUS,Q,2014-Q4,5121371.9,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,AUS,Q,2015-Q1,5243522,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,AUS,Q,2015-Q2,5464466,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,AUS,Q,2015-Q3,5596074.7,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,AUS,Q,2015-Q4,5638374.2,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,AUS,Q,2016-Q1,5643101,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,AUS,Q,2016-Q2,5775165.9,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,AUS,Q,2016-Q3,5895425.8,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,AUS,Q,2016-Q4,6147746.1,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,AUS,Q,2017-Q1,6302399.2,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,AUS,Q,2017-Q2,6466326.2,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,AUS,Q,2017-Q3,6474016.2,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,AUS,Q,2017-Q4,6634860.5,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,AUS,Q,2018-Q1,6644566.2,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,AUS,Q,2018-Q2,6610114.3,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,AUS,Q,2018-Q3,6550135.3,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,AUS,Q,2018-Q4,6480119.1,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,AUS,Q,2019-Q1,6352189.2,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,AUS,Q,2019-Q2,6413380.2,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,AUS,Q,2019-Q3,6633358.6,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,AUS,Q,2019-Q4,6847451.4,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,AUS,Q,2020-Q1,6949644.6,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,AUS,Q,2020-Q2,6922424,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,AUS,Q,2020-Q3,7149079.1,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,AUS,Q,2020-Q4,7529498.4,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,AUS,Q,2021-Q1,7989261.9,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,AUS,Q,2021-Q2,8418679.4,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,AUS,Q,2021-Q3,9013780.7,AUD,6,r,
ABS:RES_DWELL_ST(1.0.0),2,AUS,Q,2021-Q4,9513275.8,AUD,6,r,
ABS:RES_DWELL_ST(1.0.0),2,AUS,Q,2022-Q1,9723708.3,AUD,6,p,
ABS:RES_DWELL_ST(1.0.0),3,7,Q,2011-Q3,8491.3,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,7,Q,2011-Q4,7694.2,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,7,Q,2012-Q1,7783.1,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,7,Q,2012-Q2,7536,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,7,Q,2012-Q3,7891.6,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,7,Q,2012-Q4,8319.6,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,7,Q,2013-Q1,8028.1,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,7,Q,2013-Q2,8053.5,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,7,Q,2013-Q3,7938.1,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),3,7,Q,2013-Q4,8581.9,AUD,6,,
